Origin_Country_Cd,Origin_Route_City_Cd,Origin_Route_City_Nm,Origin_Area_Cd,Origin_Area_Nm,Meas_Type_Cd,Item_Id,Tag_Id,Planned_Drop_Date,Drop_Date,Dest_Country_Cd,Dest_Route_City_Cd,Dest_Route_City_Nm,Dest_Area_Cd,Dest_Area_Nm,Rcv_Date,Validated,Valid,Read_Dt,Read_Day,Site_Country_Cd,Site_Cd,Site_Nm,Site_Area_Nm,Reader,Reader_Id,Reader_Pse,Is_For_TD,FIR_PMC,Deletion_Reason_Cd,Deletion_Reason_Detail,TP_Read_After_Delivery,Has_TD_Read,Nr_Reads_Btw_Drop_And_Rcv,Nr_Reads_After_Delivery
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180129MK,J5GJ0001800091999,2018-08-07,2018-08-07,MK,MKSKP,Skopje,MKSKP,Skopje,,0,1,2018-08-17 11:21:58.7600000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,15,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180130MK,J5GJ0001800092000,2018-08-08,2018-08-08,MK,MKSKP,Skopje,MKSKP,Skopje,2018-09-19,1,1,2018-08-17 11:23:23.2300000,Friday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,94,0
CR,CRSJO,San José,CRSJO,San José,E2E,CR180322CU,J5GJ0001800076228,2018-08-17,2018-08-17,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-17 21:41:30.8730000,Friday,CR,CRSJOA,Centro Tratamiento Postal Zapote,San José,,J11DJ0001000000060,Reader at the office exit,1,0,,,0,1,4,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180108CU,J5GJ0001800092338,2018-08-10,2018-08-10,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-18 02:45:31.0000000,Saturday,AT,ATVIEA,1300 AMU WIEN FLUGHAFEN,Wien,ATVIEA RP2@62,J11DJ0001500000121,Reader at office entrance and exit,1,0,,,0,1,115,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180107CU,J5GJ0001800092337,2018-08-08,2018-08-08,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-18 09:34:53.9780000,Saturday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,66,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180107CU,J5GJ0001800092337,2018-08-08,2018-08-08,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-18 09:42:18.7440000,Saturday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,66,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180107CU,J5GJ0001800092337,2018-08-08,2018-08-08,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-18 10:16:55.6100000,Saturday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,66,0
MK,MKGVL,Gevgelija,MKGCT,Gevgelija,E2E,MK180107CU,J5GJ0001800092337,2018-08-08,2018-08-08,CU,CUHAV,Havana,CUHCT,Habana,2018-09-06,1,1,2018-08-18 10:17:40.4800000,Saturday,CU,CUHAVA,HAVANA OCI,Habana,RP1,J11DJ0001700000046,Reader at the office entrance,1,0,,,0,1,66,0
MK,MKSKP,Skopje,MKSKP,Skopje,E2E,MK180126CU,J5GJ0001800092353,2018-08-02,2018-08-02,CU,CUHAV,Havana,CUHCT,Habana,,0,1,2018-08-20 06:00:13.0000000,Monday,DE,DEFRAA,IPZ Frankfurt,Frankfurt am Main,DEFRAA RP94 Airside,J11DJ0001400000095,Reader at the office entrance,1,0,,,0,1,64,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180144CR,J5GJ0001800076534,2018-08-14,2018-08-14,CR,CRSJO,San José,CRSJO,San José,,0,1,2018-08-20 07:15:29.0230000,Monday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180100BO,J5GJ0001800050582,2018-08-13,2018-08-13,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,2018-08-20 07:15:43.7500000,Monday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,1,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180130BO,J5GJ0001800050550,2018-08-13,2018-08-13,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,2018-08-20 07:15:43.8620000,Monday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,2,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180144CR,J5GJ0001800076534,2018-08-14,2018-08-14,CR,CRSJO,San José,CRSJO,San José,,0,1,2018-08-20 07:49:51.7760000,Monday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,6,0
CU,CUHAV,Havana,CUHCT,Habana,E2E,CU180130BO,J5GJ0001800050550,2018-08-13,2018-08-13,BO,BOLPB,La Paz,BOLPB,La Paz,,0,1,2018-08-20 07:49:52.2690000,Monday,CU,CUHAVA,HAVANA OCI,Habana,RP3,J11DJ0001700000048,Reader at the office entrance,1,0,,,0,1,2,0
